OBVOD;CKAND;VSTRANA;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;HLASY_K1;PROC_K1;URIZ_PR_K1;ZVOLEN_K1;LOS_K1;HLASY_K2;PROC_K2;URIZ_PR_K2;ZVOLEN_K2;LOS_K2;NAZEV_VS
1;1;80;"Pavel";"Petrièko";"";"";71;"zdravotní potøeby";"Ostrov";555428;99;80;"A";1376;4.26;4.26574076944539;0;0;0;0;0;0;0;"Nezávislý kandidát"
1;2;1114;"Eva";"Chromcová";"Ing.";"";45;"operátor Zdravotnické záchranné služby - vedoucí smìny";"Karlovy Vary";554961;99;1114;"A";4557;14.12;14.12716619648448;2;0;2791;32.02;32.02524383247274;0;0;"Svoboda a pøímá demokracie (SPD)"
1;3;720;"Bohdan";"Vanìk";"Ing.";"M.A.";48;"ekonomický analytik a projektový manažer";"Karlovy Vary";554961;720;720;"A";1838;5.69;5.6979880336051;0;0;0;0;0;0;0;"Èeská pirátská strana"
1;4;1244;"Bedøich";"Šmudla";"";"";60;"manažer";"Sadov";555533;1244;1244;"A";524;1.62;1.62445360696902;0;0;0;0;0;0;0;"Hnutí PES"
1;5;768;"Vìra";"Procházková";"MUDr.";"";68;"bývalá poslankynì, lékaøka Zdravotnické záchranné služby Karlovarského kraje";"Karlovy Vary";554961;768;768;"A";8343;25.86;25.86415351706606;2;0;5924;67.97;67.97475616752725;1;0;"ANO 2011"
1;6;182;"Petr";"Kulhánek";"Ing.";"";51;"hejtman kraje";"Karlovy Vary";554961;182;182;"A";3972;12.31;12.31360634900951;0;0;0;0;0;0;0;"Karlovarská obèanská alternativa"
1;7;715;"Jan";"Havel";"Ing.";"";65;"úøedník, vedoucí ubytovacího zaøízení";"Stanovice";555550;99;715;"A";269;.83;.83392751960814;0;0;0;0;0;0;0;"Demokratická strana zelených - ZA PRÁVA ZVÍØAT"
1;8;1270;"Petr";"Ajšman";"";"";46;"OSVÈ, jednatel spoleènosti";"Karlovy Vary";554961;1270;1270;"A";693;2.14;2.14837089623957;0;0;0;0;0;0;0;"SRDCEM PRO ..."
1;9;1118;"Martin";"Maleèek";"";"";50;"starosta";"Hroznìtín";555185;99;1118;"A";4226;13.1;13.10103233406702;0;0;0;0;0;0;0;"Volba pro kraj"
1;10;1327;"Václav";"Slavík";"Mgr. Bc.";"";48;"starosta mìsta";"Žlutice";555762;1;1;"A";2482;7.69;7.69445391697926;0;0;0;0;0;0;0;"SPOLU (ODS + KDU-ÈSL + TOP 09)"
1;11;166;"Jan";"Horník";"Ing.";"";68;"starosta Božího Daru a senátor";"Boží Dar";506486;166;166;"A";3977;12.32;12.32910686052639;0;0;0;0;0;0;0;"STAROSTOVÉ A NEZÁVISLÍ"
4;1;143;"Alena";"Dernerová";"MUDr.";"";64;"dìtská lékaøka - neuroložka";"Most";567027;99;143;"A";8608;31.36;31.36111920722821;2;0;4729;41.2;41.20773788776577;0;0;"Spojení demokraté - Sdružení nezávislých"
4;2;80;"Hana";"Aulická Jírovcová";"Ing.";"";41;"projektový manager";"Most";567027;99;80;"A";3331;12.13;12.1356747303993;0;0;0;0;0;0;0;"Nezávislý kandidát"
4;3;1114;"Ivana";"Turková";"Ing.";"Ph.D., MBA";55;"ekonom, lektor";"Litvínov";567256;1114;1114;"A";6547;23.85;23.85237540075779;0;0;0;0;0;0;0;"Svoboda a pøímá demokracie (SPD)"
4;4;79;"Michal";"Moravec";"";"";47;"jednatel spoleènosti";"Jirkov";563099;99;79;"A";290;1.05;1.05654328184202;0;0;0;0;0;0;0;"Národní demokracie"
4;5;1175;"Jan";"Paparega";"Mgr.";"";41;"primátor statutárního mìsta Mostu";"Most";567027;1175;1175;"A";8672;31.59;31.59428737977266;2;0;6747;58.79;58.79226211223422;1;0;"ProMOST"
7;1;47;"Jiøí";"Valenta";"PhDr. Ing. Mgr. et Mgr.";"";56;"pedagogický pracovník";"Plzeò";2;47;47;"A";2554;5.79;5.79164587963172;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
7;2;1114;"Jan";"Kùrka";"";"";79;"trenér, olympionik";"Plzeò";2;99;1114;"A";2833;6.42;6.42432763390629;0;0;0;0;0;0;0;"Svoboda a pøímá demokracie (SPD)"
7;3;1014;"Pavel";"Šrámek";"Ing.";"MBA";57;"farmáø, zemìdìlec";"Plzeò";2;1119;1014;"A";4683;10.61;10.61952923035058;0;0;0;0;0;0;0;"PRO PLZEÒ"
7;4;1559;"Václav";"Chaloupek";"Mgr.";"";73;"producent dìtských poøadù, senátor";"Plzeò";2;1022;166;"A";5309;12.03;12.03909474352578;0;0;0;0;0;0;0;"Václav Chaloupek do Senátu - koalice OPAT a STAN"
7;5;80;"Daniela";"Kováøová";"JUDr.";"";57;"rodinná advokátka a spisovatelka";"Štìnovice";558435;99;80;"A";9684;21.96;21.96017959998185;2;0;10707;54.06;54.0675655203757;1;0;"JUDr. Daniela Kováøová"
7;6;768;"Josef";"Váòa";"";"";69;"žokej, vítìz Velké pardubické, trenér, místostarosta";"Chyše";555207;99;768;"A";8923;20.23;20.23447775409315;0;0;0;0;0;0;0;"ANO 2011"
7;7;1327;"Karel";"Naxera";"Mgr.";"";50;"starosta mìsta Pøeštice";"Pøeštice";558249;721;721;"A";10112;22.93;22.93074515851059;2;0;9096;45.93;45.93243447962429;0;0;"SPOLU— ODS, KDU-ÈSL, TOP 09"
10;1;1;"Robert";"Huneš";"PhDr. Mgr.";"MBA";53;"øeditel hospice";"Vodòany";551953;1;1;"A";7717;16.22;16.22343221140706;0;0;0;0;0;0;0;"KDU-ÈSL"
10;2;53;"Tomáš";"Jirsa";"Ing.";"MBA";65;"starosta mìsta, senátor PÈR";"Hluboká nad Vltavou";544485;53;53;"A";17378;36.53;36.53373136838564;2;0;12188;66.36;66.36536890824938;1;0;"Obèanská demokratická strana"
10;3;88;"Dalibor";"Uhlíø";"Ing.";"";49;"øeditel spoleènosti, vydavatel Jihoèeských víkendù";"Èeský Krumlov";545392;99;88;"A";7814;16.42;16.42735509912334;0;0;0;0;0;0;0;"NEZÁVISLÍ"
10;4;768;"Miroslav";"Lorenc";"";"";65;"místostarosta mìsta";"Prachatice";550094;99;768;"A";8307;17.46;17.46378792019677;2;0;6177;33.63;33.63463109175061;0;0;"ANO 2011"
10;5;1114;"Václav";"Mikeš";"";"";44;"protipožární technik, zastupitel mìsta";"Kaplice";545562;1114;1114;"A";6351;13.35;13.35169340088716;0;0;0;0;0;0;0;"Svoboda a pøímá demokracie (SPD)"
13;1;1613;"Marek";"Slabý";"MUDr.";"";57;"lékaø, øeditel Zdravotnické záchranné služby Jihoèeského kraje";"Tábor";552046;99;136;"A";14186;30;30.00549938660687;2;0;10676;53.47;53.47357876283496;1;0;"Tábor 2020 a SPOLU - Obèanská demokratická strana, KDU-ÈSL, TOP 09"
13;2;720;"Martin";"Kákona";"Ing.";"Ph.D.";55;"vìdecký pracovník";"Sobìslav";553131;720;720;"A";2060;4.35;4.3572063116037;0;0;0;0;0;0;0;"Èeská pirátská strana"
13;3;766;"Jaroslav";"Vìtrovský";"Mgr.";"";54;"uèitel, starosta, senátor";"Mladá Vožice";552704;99;766;"A";10718;22.67;22.67016371250898;2;0;9289;46.52;46.52642123716503;0;0;"JIHOÈEŠI 2012"
13;4;80;"Jiøí";"Machaè";"";"";63;"distributor tiskovin";"Tábor";552046;99;80;"A";391;.82;.82702313972672;0;0;0;0;0;0;0;"JIØÍ MACHAÈ"
13;5;768;"Martin";"Kupec";"JUDr.";"Ph.D.";49;"právník, radní mìsta Milevsko";"Milevsko";549576;768;768;"A";8871;18.76;18.76348407293032;0;0;0;0;0;0;0;"ANO 2011"
13;6;166;"Jiøí";"Šimánek";"Ing.";"";65;"starosta mìsta Planá nad Lužnicí";"Planá nad Lužnicí";552828;99;166;"A";2825;5.97;5.97529506324294;0;0;0;0;0;0;0;"STAROSTOVÉ A NEZÁVISLÍ"
13;7;714;"Evžen";"Zadražil";"Bc.";"";49;"manažer, komentátor motokrosu, místostarosta obce Chýnov";"Chýnov";552496;99;714;"A";2501;5.28;5.28998688607809;0;0;0;0;0;0;0;"Svobodní"
13;8;7;"Olga";"Bastlová";"Ing.";"";52;"místostarostka mìsta Tábora";"Tábor";552046;7;7;"A";3195;6.75;6.75790008037565;0;0;0;0;0;0;0;"Èeská strana sociálnì demokratická"
13;9;1114;"Miloš";"Zábranský";"MgA.";"";70;"filmový režisér, vysokoškolský pedagog";"Vlašim";530883;99;1114;"A";2531;5.35;5.35344134692668;0;0;0;0;0;0;0;"Svoboda a pøímá demokracie (SPD)"
16;1;88;"Michal";"Auøedník";"";"";40;"soukromý podnikatel";"Králùv Dvùr";533203;99;88;"A";10495;21.13;21.13115612290097;0;0;0;0;0;0;0;"NEZÁVISLÍ"
16;2;1565;"Janis";"Sidovský";"";"";54;"místostarosta Karlštejna, manažer, producent a filantrop";"Karlštejn";531316;99;1187;"A";14861;29.92;29.92187814601538;2;0;9211;44.91;44.91417983226058;0;0;"Janis Sidovský, senátor pro všechny - s podporou LES a SEN 21"
16;3;1327;"Jiøí";"Oberfalzer";"";"";68;"senátor Parlamentu ÈR";"Králùv Dvùr";533203;53;53;"A";18823;37.89;37.89916643176418;2;0;11297;55.08;55.08582016773941;1;0;"Koalice SPOLU"
16;4;720;"Martin";"Karim";"JUDr.";"";56;"právník - metodik, èlen výboru pro audit";"Trnová";598313;720;720;"A";5487;11.04;11.04779929931945;0;0;0;0;0;0;0;"Èeská pirátská strana"
19;1;714;"David";"Bohbot";"";"MBA";54;"bezpeènostní expert, øeditel Centra pro výzkum terorismu, podnikatel v bezpeènostním sektoru";"Praha";1;714;714;"A";1373;3.55;3.55340459121612;0;0;0;0;0;0;0;"Svobodní"
19;2;1114;"Milan";"Urban";"Dr.- Ing.";"";62;"architekt, urbanista";"Praha";1;1114;1114;"A";5157;13.34;13.34661870131214;0;0;0;0;0;0;0;"Svoboda a pøímá demokracie (SPD)"
19;3;1244;"Šárka";"Oharková";"Mgr.";"";40;"advokátka";"Praha";1;1244;1244;"A";663;1.71;1.71588291622453;0;0;0;0;0;0;0;"Hnutí PES"
19;4;7;"Vladimír";"Špidla";"PhDr.";"";71;"historik a øeditel Masarykovy demokratické akademie";"Praha";1;7;7;"A";3221;8.33;8.3361370635886;0;0;0;0;0;0;0;"Èeská strana sociálnì demokratická"
19;5;1573;"Ladislav";"Kos";"Ing.";"";64;"senátor";"Praha";1;195;195;"A";6524;16.88;16.88449494034524;2;0;5569;32.12;32.12946402815438;0;0;"KOS do Senátu"
19;6;2;"Robert";"Vašíèek";"Bc.";"";43;"zastupitel MÈ Praha 11, pøedseda Spolku pejskaøù";"Praha";1;99;2;"A";968;2.5;2.50524081886177;0;0;0;0;0;0;0;"Èeská strana národnì sociální"
19;7;80;"Tomáš";"Hudeèek";"doc. RNDr.";"Ph.D.";43;"vysokoškolský uèitel";"Praha";1;99;80;"A";5653;14.63;14.63029581510908;0;0;0;0;0;0;0;"Nezávislý kandidát"
19;8;1327;"Hana";"Kordová Marvanová";"JUDr.";"";59;"advokátka, právnièka, radní HMP";"Praha";1;99;53;"A";15080;39.02;39.02792515334247;2;0;11764;67.87;67.87053597184561;1;0;"SPOLU (ODS, TOP 09, KDU-ÈSL)"
22;1;1043;"Bohumil";"Zoufalík";"Mgr.";"";54;"OSVÈ";"Praha";1;1043;1043;"A";1984;5.98;5.98401447745438;0;0;0;0;0;0;0;"NEZÁVISLÍ PRO PRAHU 10 –? HNUTÍ PRO LEPŠÍ DESÍTKU"
