OBVOD;CKAND;VSTRANA;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;HLASY_K1;PROC_K1;URIZ_PR_K1;ZVOLEN_K1;LOS_K1;HLASY_K2;PROC_K2;URIZ_PR_K2;ZVOLEN_K2;LOS_K2;NAZEV_VS
3;1;1227;"Jiøí";"Sedláèek";"Ing.";"";64;"jednatel spoleènosti";"Tachov";560715;99;1227;"A";1613;5.64;5.64459686450167;0;0;0;0;0;0;0;"Trikolóra hnutí obèanù"
3;2;720;"Markéta";"Monsportová";"";"";48;"manaerka a kulturní aktivistka";"Velká Hleïsebe";539279;720;720;"A";3960;13.85;13.85778275475923;0;0;0;0;0;0;0;"Èeská pirátská strana"
3;3;768;"Jaroslava";"Broová Lampertová";"Ing.";"";66;"starostka obce Velká Hleïsebe";"Velká Hleïsebe";539279;768;768;"A";4927;17.24;17.24174132138857;2;0;3091;29.68;29.68119838678701;0;0;"ANO 2011"
3;4;47;"Josef";"Švarcbek";"RSDr.";"";65;"velitel vıjezdové jednotky SDH Planá";"Planá";535176;47;47;"A";2506;8.76;8.76959686450167;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
3;5;166;"Miroslav";"Plevnı";"";"";54;"vysokoškolskı uèitel na Fakultì ekonomické ZÈU";"Cheb";554481;99;166;"A";7840;27.43;27.43561030235162;2;0;7323;70.31;70.31880161321298;1;0;"STAROSTOVÉ A NEZÁVISLÍ"
3;6;1449;"Svatava";"Štìrbová";"Mgr.";"";49;"právnièka a zastupitelka mìsta Kladruby";"Kladruby";559920;5;5;"A";1379;4.82;4.82572788353863;0;0;0;0;0;0;0;"ZELENÍ a SENÁTOR 21"
3;7;785;"Martin";"Lojda";"";"";65;"realitní makléø";"Karlovy Vary";554961;1205;785;"A";119;.41;.41643337066069;0;0;0;0;0;0;0;"Zdraví Sport Prosperita"
3;8;7;"Miroslav";"Nenutil";"Mgr.";"";62;"senátor";"Støíbro";561215;7;7;"A";4142;14.49;14.49468085106382;0;0;0;0;0;0;0;"Èeská strana sociálnì demokratická"
3;9;1114;"Josef";"Kvasnièka";"JUDr.";"";70;"právník";"Plesná";554740;1179;1114;"A";2090;7.31;7.31382978723404;0;0;0;0;0;0;0;"Svoboda a pøímá demokracie (SPD)"
6;1;1477;"Vladimír";"Drápal";"Mgr.";"";56;"kurátor a produkèní mìstské galerie, vydavatel";"Louny";565971;99;53;"A";7884;20.63;20.63064241789873;2;0;7252;41.6;41.60403878148126;0;0;"Koalice ODS, TOP 09, KDU-ÈSL a KAN"
6;2;1187;"Daniel";"Pitek";"";"";53;"sedlák a lesník";"Velemín";565849;99;1187;"A";3352;8.77;8.77142483318068;0;0;0;0;0;0;0;"SENÁTOR 21"
6;3;119;"Zdeòka";"Hamousová";"Mgr.";"";59;"starostka";"atec";566985;99;119;"A";3910;10.23;10.2315844563653;0;0;0;0;0;0;0;"Unie pro sport a zdraví"
6;4;1114;"Dominik";"Hanko";"Ing.";"";41;"preventista mìstské policie, vèelaø, trenér atlet.";"Litomìøice";564567;1114;1114;"A";2201;5.75;5.75951851367264;0;0;0;0;0;0;0;"Svoboda a pøímá demokracie (SPD)"
6;5;47;"Václav";"Beneš";"";"";67;"starosta obce Blatno";"Blatno";566004;47;47;"A";2462;6.44;6.44249640193641;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
6;6;1478;"Jaroslav";"Veselı";"Ing.";"";64;"starosta obce Raná";"Raná";566659;99;1012;"A";1153;3.01;3.01713986654455;0;0;0;0;0;0;0;"Lepší Sever"
6;7;1227;"Zdenìk";"Pištora";"Mgr.";"";56;"starosta mìsta Postoloprty";"Postoloprty";566624;1227;1227;"A";1590;4.16;4.16066989402067;0;0;0;0;0;0;0;"Trikolóra hnutí obèanù"
6;8;166;"Ivo";"Trešl";"MUDr.";"";48;"lékaø - chirurg";"Rakovník";541656;166;166;"A";7995;20.92;20.9211042784247;2;0;10179;58.39;58.39596121851873;1;0;"STAROSTOVÉ A NEZÁVISLÍ"
6;9;768;"Milan";"Rychtaøík";"Mgr. et. Bc.";"";48;"místostarosta mìsta Louny";"Louny";565971;768;768;"A";7341;19.2;19.20973439748789;0;0;0;0;0;0;0;"ANO 2011"
6;10;704;"Rostislav";"Domorák";"Ing.";"";59;"øeditel Oblastní charity Ústí nad Labem";"Budynì nad Ohøí";564656;99;704;"A";327;.85;.8556849404684;0;0;0;0;0;0;0;"Severoèeši.cz"
9;1;166;"Jindøich";"Sitta";"MUDr.";"";65;"chirurg, plukovník AÈR, bıv. velitel 6. pol. nem.";"Plzeò";2;99;166;"A";6175;16.4;16.40585562847046;0;0;0;0;0;0;0;"STAROSTOVÉ A NEZÁVISLÍ"
9;2;47;"Václav";"Heøman";"";"";46;"servisní technik";"Plzeò";2;47;47;"A";3034;8.06;8.06078801243391;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
9;3;1114;"Oldrich";"Fencl";"Ing.";"";65;"geodet, geolog";"Plzeò";2;1114;1114;"A";3481;9.24;9.2483859826244;0;0;0;0;0;0;0;"Svoboda a pøímá demokracie (SPD)"
9;4;720;"Daniel";"Kùs";"Mgr.";"";46;"zakl. internet. startupu, právník, plzeò. zastup.";"Plzeò";2;720;720;"A";8032;21.33;21.33956800127527;2;0;5773;40.66;40.66065643048316;0;0;"Èeská pirátská strana"
9;5;7;"Jiøí";"Liška";"MUDr.";"CSc.";76;"zástup. primáøe novorozeneckého odd. Mulaèovy nem.";"Plzeò";2;7;7;"A";3766;10;10.00557931932304;0;0;0;0;0;0;0;"Èeská strana sociálnì demokratická"
9;6;1462;"Lumír";"Aschenbrenner";"Ing.";"";60;"starosta Slovan, senátor PÈR";"Plzeò";2;53;53;"A";13151;34.93;34.93982305587289;2;0;8425;59.33;59.33934356951683;1;0;"Koalice pro Plzeò"
12;1;1236;"Marek";"Andìl";"";"";48;"øeditel muzea Elektrárny královského mìsta Písku";"Písek";549240;99;1236;"A";1898;5.01;5.0153260754677;0;0;0;0;0;0;0;"PÍSEK SOBÌ - sdruení nezávislıch kandidátù"
12;2;47;"Pavel";"Štìtina";"";"";68;"lesník";"Nová Pec";550451;47;47;"A";1661;4.38;4.38907092273544;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
12;3;768;"Petr";"Kalina";"Ing.";"";48;"starosta obce";"Dobev";549363;768;768;"A";5357;14.15;14.1554803931931;0;0;0;0;0;0;0;"ANO 2011"
