OBVOD;CKAND;VSTRANA;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;HLASY_K1;PROC_K1;URIZ_PR_K1;ZVOLEN_K1;LOS_K1;HLASY_K2;PROC_K2;URIZ_PR_K2;ZVOLEN_K2;LOS_K2;NAZEV_VS
24;1;1114;"Pavel";"Pešan";"Bc.";"";44;"živnostník";"Praha 9";500216;1114;1114;"A";563;2.93;2.93580852062366;0;0;0;0;0;0;0;"Svoboda a pøímá demokracie - Tomio Okamura (SPD)"
24;2;210;"Jan";"Jarolím";"Ing.";"";72;"starosta mìstské èásti Praha 9";"Praha 9";500216;53;53;"A";4651;24.25;24.25301141993012;2;0;4811;40.49;40.4932244760542;0;0;"ODS a KDU-ÈSL"
24;3;759;"Jiøí";"Koskuba";"MUDr.";"";63;"primáø interního oddìlení Nemocnice Na Bulovce";"Praha 9";500216;99;759;"A";678;3.53;3.53548521666579;0;0;0;0;0;0;0;"Èeská Suverenita"
24;4;785;"Eva";"Syková";"Prof. MUDr.";"DrSc.";74;"vìdecká pracovnice";"Praha";1;99;785;"A";380;1.98;1.98154038692183;0;0;0;0;0;0;0;"PRO Zdraví a Sport"
24;5;166;"David";"Smoljak";"";"";60;"radní MÈ Praha-Vinoø, scenárista, publicista";"Praha-Vinoø";539007;99;166;"A";4514;23.53;23.53861396464514;2;0;7070;59.5;59.50677552394579;1;0;"STAROSTOVÉ A NEZÁVISLÍ"
24;6;768;"Martin";"Hrubèík";"Mgr.";"MBA";40;"bezpeènostní øeditel, pedagog";"Praha 9";500216;768;768;"A";2391;12.46;12.46806069771079;0;0;0;0;0;0;0;"ANO 2011"
24;7;721;"Martin";"Kroh";"Mgr.";"";52;"pøedseda Èeské spoleènosti pro rozvoj bydlení";"Praha 9";500216;99;721;"A";1392;7.25;7.25869531209261;0;0;0;0;0;0;0;"TOP 09"
24;8;1437;"Petr";"Daubner";"Mgr.";"";46;"uèitel";"Praha";1;720;720;"A";2674;13.94;13.943786827971;0;0;0;0;0;0;0;"Piráti s podporou Zelených, SEN21 a ÈSSD"
24;9;1213;"Libor";"Michálek";"Mgr.";"MPA";50;"ekonom";"Chýnì";539309;1213;1213;"A";1127;5.87;5.87683162121291;0;0;0;0;0;0;0;"VIZE pro Èesko"
24;10;47;"Petr";"Šimùnek";"";"";54;"1. místopøedseda ÚV KSÈM";"Praha 8";500208;47;47;"A";807;4.2;4.2081660322261;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
