KSTRANA;VSTRANA;NAZEVCELK;NAZEV_STRK;ZKRATKAK30;ZKRATKAK8;POCSTRVKO;SLOZENI;STAVREG;PLATNOST;SLOZNEPLAT;POCMANDCR;CPU
30;103;Strana pro otevřenou společnost;Strana pro otevřenou společnost;Str.pro otevřenou společnost;SOS;1;103;2202202222222;0;;3
31;631;Nejen hasiči a živnostníci pro kraj - www.hnpd.cz, www.sdzp.cz;Nejen has.a živn.pro kraj-www.hnpd.cz,www.sdzp.cz;Nejen hasiči a živn.pro kraj;HAS+ŽIVN;2;165,167;2222222222220;0;;0
32;137;Strana zdravého rozumu;Strana zdravého rozumu;Strana zdravého rozumu;SZR;1;137;0200020000000;0;;0
33;11;Sdružení pro republiku-Republikánská strana Československa;Sdružení pro republiku-Republikán.strana Českosl.;Sdruž.pro rep.-Republ.str.Čsl.;SPR-RSČ;1;011;1000000000000;0;;0
34;636;DOHODA pro Ústecký kraj;DOHODA pro Ústecký kraj;DOHODA pro Ústecký kraj;DOHODA_Ú;2;102,138;2222022222222;0;;0
35;625;Koalice pro Středočeský kraj;Koalice pro Středočeský kraj;Koalice pro Středočeský kraj;KOALSTČ1;2;001,129;0222222222222;0;;0
36;646;Koalice pro Plzeňský kraj;Koalice pro Plzeňský kraj;Koalice pro Plzeňský kraj;KOALPLZ1;2;001,129;2202222222222;0;;3
37;155;SDŽ - Strana důstojného života;SDŽ - Strana důstojného života;SDŽ-Strana důstojného života;SDŽ;1;155;0000200000000;0;;0
38;102;Unie svobody - Demokratická unie;Unie svobody - Demokratická unie;Unie svobody-Demokratická unie;US-DEU;1;102;2220222222222;0;;0
39;140;Balbínova poetická strana;Balbínova poetická strana;Balbínova poetická strana;BPS;1;140;2202022222222;0;;0
40;643;STAROSTOVÉ A NEZÁVISLÍ PRO ZLÍNSKÝ KRAJ;STAROSTOVÉ A NEZÁVISLÍ PRO ZLÍNSKÝ KRAJ;STAROSTOVÉ A NEZÁVISLÍ PRO ZK;STAR+NEZ;2;109,166;2222222222202;0;;5
41;143;Spojení demokraté - Sdružení nezávislých;Spojení demokraté - Sdružení nezávislých;Spojení demokraté-Sdruž.nezáv.;SD-SN;1;143;2202222222222;0;;0
42;98;Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET;Volte Pravý Blok - www.cibulka.net;Volte Pr.Blok-www.cibulka.net;PB;1;098;0000000000000;0;;0
43;197;NESPOKOJENÍ OBČANÉ!;NESPOKOJENÍ OBČANÉ!;NESPOKOJENÍ OBČANÉ!;NO!;1;197;2222022222222;0;;0
44;200;Demokracie;Demokracie;Demokracie;DK;1;200;2222222022220;0;;0
45;642;DOHODA pro Vysočinu;DOHODA pro Vysočinu;DOHODA pro Vysočinu;DOHODAVY;3;102,132,159;2222222202222;0;;0
46;634;Alternativa 2008;Alternativa 2008;Alternativa 2008;Alt_2008;3;102,103,138;2222222220222;0;;0
47;53;Občanská demokratická strana;Občanská demokratická strana;Občanská demokratická strana;ODS;1;053;0000000000000;0;;180
48;7;Česká strana sociálně demokratická;Česká strana sociálně demokratická;Česká str.sociálně demokrat.;ČSSD;1;007;0000000000000;0;;280
49;702;"ALTERNATIVA PRO KRAJ";"ALTERNATIVA PRO KRAJ";"ALTERNATIVA PRO KRAJ";"Altern";1;702;2220222222222;0;;5
50;647;Koalice pro Královéhradecký kraj;Koalice pro Královéhradecký kraj;Koalice pro Královéhradec.kraj;KOAL_HK1;2;001,181;2222220222222;0;;4
