KRZAST;KSTRANA;PORCISLO;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;POCHLASU;POCPROC;POCPROCVSE;MANDAT;PORADIMAND;PORADIHAHR;CPU
3;93;24;Petr;Douša;Ing.;;36;designér;Plzeň;2;99;720;0;52;0;0;0;0;
3;93;25;Marek;Těšínský;;;21;manipulační dělník;Nýrsko;556831;99;720;0;52;0;0;0;0;
3;93;26;Robert;Vaněček;;;36;živnostník;Plzeň;2;99;720;0;33;0;0;0;0;
3;93;27;Evžen;Bouřa;Mgr. et Mgr.;Ph.D.;32;výzkumný pracovník;Vrhaveč;557455;720;720;0;100;0;0;0;0;
3;93;28;Tomáš;Tisoň;;;34;vstupní kontrolor;Nýřany;559300;720;720;0;51;0;0;0;0;
3;93;29;Pavel;Kašík;;;35;logistik;Neurazy;558125;720;720;0;69;0;0;0;0;
4;7;1;Josef;Peterek;;;59;stavební technik;Mariánské Lázně;554642;99;98;0;61;;;;;
4;7;2;Miroslav;Černota;;;54;pracovník ve školství;Ostrov;555428;99;98;0;51;;;;;
4;7;3;Josef;Toman;;;63;podnikatel;Karlovy Vary;554961;99;98;0;16;;;;;
4;7;4;Lukáš;Adam;;;31;jevištní dekoratér;Cheb;554481;99;98;0;43;;;;;
4;7;5;Miroslav;Roubínek;;;37;vedoucí výpočetního střediska;Verušičky;555711;99;98;0;49;;;;;
4;7;6;Petr;Plzák;;;50;zaměstnanec;Ostrov;555428;99;98;0;26;;;;;
4;7;7;Kamil;Lukeš;;;36;technik;Cheb;554481;99;98;0;51;;;;;
4;7;8;František;Outrata;;;55;stavař;Cheb;554481;99;98;0;23;;;;;
4;7;9;Václav;Slouka;;;55;sedlák;Hranice;554553;99;98;0;42;;;;;
4;7;10;Jan;Bartoň;;;60;občanský zaměstnanec;Verušičky;555711;99;98;0;11;;;;;
4;7;11;Miroslav;Janoušek;;;62;živnostník;Cheb;554481;99;98;0;15;;;;;
4;7;12;František;Matoušek;;;40;živnostník;Krásno;538337;99;98;0;33;;;;;
4;7;13;Vojtěch;Král;;;56;stavař;Lázně Kynžvart;554600;99;98;0;17;;;;;
4;7;14;Jaroslava;Beerová;;;49;pracovnice v kultuře;Ostrov;555428;99;98;0;29;;;;;
4;7;15;Jana;Pýchová;;;49;kuchařka;Ostrov;555428;99;98;0;32;;;;;
4;7;16;Josef;Putyra;;;62;angažovaný občan;Březová;560294;99;98;0;11;;;;;
4;7;17;Marie;Pachnerová;Mgr.;;72;angažovaný občan;Karlovy Vary;554961;99;98;0;13;;;;;
4;7;18;Věra;Bartoňová;;;59;kuchařka;Verušičky;555711;99;98;0;17;;;;;
4;7;19;Ladislav;Nykl;;;68;angažovaný občan;Chodov;560383;99;98;0;19;;;;;
4;7;20;Jiří;Němec;;;69;důchodce;Pila;556947;99;98;0;14;;;;;
4;8;1;Josef;Kvasnička;JUDr.;;61;podnikatel, právník;Plesná;554740;724;724;0;206;;;;;
4;8;2;Jan;Homolka;Ing.;;40;zástupce ředitele ISŠ;Cheb;554481;724;724;0;100;;;;;
4;8;3;Miroslav;Drobný;;;39;číšník;Nejdek;555380;724;724;0;99;;;;;
4;8;4;Jaroslav;Bradáč;Ing.;;57;krajský radní pro živ.prostř.;Skalná;554812;724;724;0;202;;;;;
4;8;5;Tatiana;Kocábová;;;44;ekonomka;Ostrov;555428;724;724;0;83;;;;;
4;8;6;Josef;Větrovec;;;44;zástupce šéfkuchaře láz.hotelu;Cheb;554481;724;724;0;49;;;;;
4;8;7;Ilja;Mlátilík;;;52;stavební podnikatel,obch.zást.;Aš;554499;724;724;0;70;;;;;
4;8;8;Denisa;Hlavová;;;37;finanční poradce;Karlovy Vary;554961;724;724;0;63;;;;;
4;8;9;Jaroslav;Smolař;;;57;stav. technik-inv.důchodce;Dolní Žandov;554502;724;724;0;58;;;;;
4;8;10;Jitka;Rudolfová;Mgr.;;49;ředitelka základní školy;Bečov nad Teplou;554995;99;724;0;76;;;;;
13;54;64;Rudolf;Polášek;;;65;důchodce;Fryčovice;598135;99;129;0;19;0;0;0;0;
13;54;65;Michaela;Němcová;Ing.;;26;projektant;Ostrava;4;99;129;0;27;0;0;0;0;
13;60;1;Miroslav;Novák;;;40;náměstek hejtmana;Ostrava;4;7;7;0;6259;7.13;7.13;1;1;
13;60;2;Věra;Palková;Mgr.;;63;náměstkyně hejtmana;Bohumín;599051;7;7;0;3390;0;3.86;1;2;
13;60;3;Jaroslav;Marek;;;53;vedoucí provozu;Raškovice;549665;7;7;0;1502;0;1.71;1;3;
13;60;4;Daniel;Havlík;Mgr.;;41;starosta;Ludgeřovice;507971;7;7;0;2147;0;2.44;1;4;
13;60;5;Jaroslav;Dvořák;PhDr.;;36;starosta;Nový Jičín;599191;7;7;0;2268;0;2.58;1;5;
13;60;6;Jaroslav;Kala;Ing.;;54;místostarosta;Rýmařov;597783;7;7;0;1482;0;1.69;1;6;
13;60;7;Adam;Rykala;Ing.;;26;poslanec, ekonom;Ostrava;4;7;7;0;1694;0;1.93;1;7;
