KRZAST;KSTRANA;VSTRANA;NAZEVCELK;NAZEV_STRK;ZKRATKAK30;ZKRATKAK8;POCSTRVKO;SLOZENI;STAVREG;PLATNOST;SLOZNEPLAT;CPU
1;22;764;Národní socialisté - levice 21. století;Národní socialisté - levice 21. století;Nár.socialisté-levice 21.stol.;NÁR.SOC.;1;764;0;0;
1;29;659;TOP 09 a Starostové pro Středočeský kraj;TOP 09 a Starostové pro Středočeský kraj;TOP 09 a Starostové pro STČ;TOP+STAN;2;166,721;0;0;
1;30;144;Věci veřejné;Věci veřejné;Věci veřejné;VV;1;144;0;0;
1;31;597;ZMĚNA 2012;ZMĚNA 2012;ZMĚNA 2012;ZMEN2012;2;002,040;0;0;
1;43;47;Komunistická strana Čech a Moravy;Komunistická strana Čech a Moravy;Komunistická str.Čech a Moravy;KSČM;1;047;0;0;
1;51;5;Strana zelených;Strana zelených;Strana zelených;SZ;1;005;0;0;
1;52;773;Středočeši2012.cz;Středočeši2012.cz;Středočeši2012.cz;S2012;1;773;0;0;
1;60;7;Česká strana sociálně demokratická;Česká strana sociálně demokratická;Česká str.sociálně demokrat.;ČSSD;1;007;0;0;
1;68;343;Koalice KDU-ČSL, SNK ED a nezávislí kandidáti;Koalice KDU-ČSL, SNK ED a nezávislí kandidáti;Koalice KDU-ČSL, SNK a nez.;KDUČSLED;2;001,129;0;0;
1;70;53;Občanská demokratická strana;Občanská demokratická strana;Občanská demokratická strana;ODS;1;053;0;0;
1;77;714;Strana svobodných občanů;Strana svobodných občanů;Strana svobodných občanů;Svobodní;1;714;0;0;
1;78;167;Hnutí na podporu dobrovolných hasičů a dalších dobrovolníků;Hnutí na podporu dobrov.hasičů a dal.dobrovolníků;Hn.na podporu dobrovol.hasičů;HNPD;1;167;0;0;
1;80;156;Dělnická strana sociální spravedlnosti;Dělnická strana sociální spravedlnosti;Dělnic.str.sociální spravedl.;DSSS;1;156;0;0;
1;83;93;Komunistická strana Československa;Komunistická strana Československa;Komunistická str.Českosloven.;KSČ;1;093;0;0;
1;88;774;"UNP-STŘEDOČEŠI 2012";"UNP-STŘEDOČEŠI 2012";"UNP-STŘEDOČEŠI 2012";UNP-STŘČ;1;774;0;0;
1;91;582;Strana Práv Občanů ZEMANOVCI - Češi;Strana Práv Občanů ZEMANOVCI - Češi;SPO ZEMANOVCI - Češi;SPOZČeši;2;724,777;0;0;
1;93;720;Česká pirátská strana;Česká pirátská strana;Česká pirátská strana;Piráti;1;720;0;0;
2;7;98;Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET;Volte Pravý Blok www.cibulka.net;Volte Pr.Blok www.cibulka.net;PB;1;098;0;0;
2;8;724;Strana Práv Občanů ZEMANOVCI;Strana Práv Občanů ZEMANOVCI;Strana Práv Občanů ZEMANOVCI;SPOZ;1;724;0;0;
2;20;83;Moravané;Moravané;Moravané;M;1;083;0;0;
2;21;700;SUVERENITA - Blok Jany Bobošíkové pro JIHOČESKÝ KRAJ;SUVERENITA-Blok Jany Bobošíkové pro JIHOČESKÝ KRAJ;SUVERENITA - Blok JB pro JCK;SBB+SDŽ;2;155,759;0;0;
2;22;764;Národní socialisté - levice 21. století;Národní socialisté - levice 21. století;Nár.socialisté-levice 21.stol.;NÁR.SOC.;1;764;0;0;
2;30;144;Věci veřejné;Věci veřejné;Věci veřejné;VV;1;144;0;0;
2;33;659;TOP 09 a Starostové pro Jihočeský kraj;TOP 09 a Starostové pro Jihočeský kraj;TOP 09 a Starostové pro JHČ;TOP+STAN;2;166,721;0;0;
2;43;47;Komunistická strana Čech a Moravy;Komunistická strana Čech a Moravy;Komunistická str.Čech a Moravy;KSČM;1;047;0;0;
2;51;5;Strana zelených;Strana zelených;Strana zelených;SZ;1;005;0;0;
2;53;600;Dělnická strana sociální spravedlnosti - STOP NEPŘIZPŮSOBIVÝM!;Děln.str.soc.spravedlnosti - STOP NEPŘIZPŮSOBIVÝM!;DSSS-STOP NEPŘIZPŮSOBIVÝM!;DSSS+SPE;2;156,761;0;0;
2;59;766;"JIHOČEŠI 2012";"JIHOČEŠI 2012";"JIHOČEŠI 2012";"JIH 12";1;766;0;0;
2;60;7;Česká strana sociálně demokratická;Česká strana sociálně demokratická;Česká str.sociálně demokrat.;ČSSD;1;007;0;0;
2;64;589;Jihočeská koalice politických stran SNK Evropští demokraté a Strany soukromníků České republiky;Jihočeská koalice politických stran SNK ED a SsČR;Jč koalice SNK ED a SsČR;SNKED+Ss;2;129,716;0;0;
2;65;736;REPUBLIKÁNSKÁ STRANA ČECH, MORAVY A SLEZSKA;REPUBLIKÁNSKÁ STRANA ČECH, MORAVY A SLEZSKA;REPUBL.STR.ČECH,MORAVY A SLEZ.;RSČMS;1;736;0;0;
2;70;53;Občanská demokratická strana;Občanská demokratická strana;Občanská demokratická strana;ODS;1;053;0;0;
2;77;714;Strana svobodných občanů;Strana svobodných občanů;Strana svobodných občanů;Svobodní;1;714;0;0;
2;84;1;Křesťanská a demokratická unie - Československá strana lidová;Křesťan.a demokrat.unie-Českosl.strana lidová;Křesť.demokr.unie-Čs.str.lid.;KDU-ČSL;1;001;0;0;
2;93;720;Česká pirátská strana;Česká pirátská strana;Česká pirátská strana;Piráti;1;720;0;0;
3;3;158;"Sdružení nestraníků";"Sdružení nestraníků";"Sdružení nestraníků";SN;1;158;0;0;
3;7;98;Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET;Volte Pravý Blok www.cibulka.net;Volte Pr.Blok www.cibulka.net;PB;1;098;0;0;
3;8;724;Strana Práv Občanů ZEMANOVCI;Strana Práv Občanů ZEMANOVCI;Strana Práv Občanů ZEMANOVCI;SPOZ;1;724;0;0;
3;10;590;SDRUŽENÍ PRO NÁŠ KRAJ - SNK;SDRUŽENÍ PRO NÁŠ KRAJ - SNK;SDRUŽENÍ PRO NÁŠ KRAJ - SNK;SNKED+AL;2;129,702;0;0;
3;22;764;Národní socialisté - levice 21. století;Národní socialisté - levice 21. století;Nár.socialisté-levice 21.stol.;NÁR.SOC.;1;764;0;0;
3;37;140;Balbínova poetická strana;Balbínova poetická strana;Balbínova poetická strana;BPS;1;140;0;0;
3;43;47;Komunistická strana Čech a Moravy;Komunistická strana Čech a Moravy;Komunistická str.Čech a Moravy;KSČM;1;047;0;0;
3;51;5;Strana zelených;Strana zelených;Strana zelených;SZ;1;005;0;0;
3;53;600;Dělnická strana sociální spravedlnosti - STOP NEPŘIZPŮSOBIVÝM!;Děln.str.soc.spravedlnosti - STOP NEPŘIZPŮSOBIVÝM!;DSSS-STOP NEPŘIZPŮSOBIVÝM!;DSSS+SPE;2;156,761;0;0;
3;57;137;Suverenita - Strana zdravého rozumu;Suverenita-Strana zdravého rozumu;Suver.-Strana zdravého rozumu;Suveren.;1;137;0;0;
3;60;7;Česká strana sociálně demokratická;Česká strana sociálně demokratická;Česká str.sociálně demokrat.;ČSSD;1;007;0;0;
3;61;659;TOP 09 a Starostové pro Plzeňský kraj;TOP 09 a Starostové pro Plzeňský kraj;TOP 09 a Starostové pro Plz.k.;TOP+STAN;2;166,721;0;0;
3;70;53;Občanská demokratická strana;Občanská demokratická strana;Občanská demokratická strana;ODS;1;053;0;0;
3;73;591;Koalice pro Plzeňský kraj;Koalice pro Plzeňský kraj;Koalice pro Plzeňský kraj;Koal_PLK;3;001,181,716;0;0;
3;77;714;Strana svobodných občanů;Strana svobodných občanů;Strana svobodných občanů;Svobodní;1;714;0;0;
3;93;720;Česká pirátská strana;Česká pirátská strana;Česká pirátská strana;Piráti;1;720;0;0;
4;7;98;Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET;Volte Pravý Blok www.cibulka.net;Volte Pr.Blok www.cibulka.net;PB;1;098;0;0;
4;8;724;Strana Práv Občanů ZEMANOVCI;Strana Práv Občanů ZEMANOVCI;Strana Práv Občanů ZEMANOVCI;SPOZ;1;724;0;0;
4;15;578;KOALICE PRO KARLOVARSKÝ KRAJ;KOALICE PRO KARLOVARSKÝ KRAJ;KOALICE PRO KARLOVARSKÝ KRAJ;Koal_KVK;3;001,005,743;0;0;
4;16;716;Strana soukromníků České republiky;Strana soukromníků České republiky;Strana soukromníků ČR;SsČR;1;716;0;0;
4;17;659;TOP 09 a Starostové pro Karlovarský kraj;TOP 09 a Starostové pro Karlovarský kraj;TOP 09 a Starostové pro KVK;TOP+STAN;2;166,721;0;0;
4;22;764;Národní socialisté - levice 21. století;Národní socialisté - levice 21. století;Nár.socialisté-levice 21.stol.;NÁR.SOC.;1;764;0;0;
4;30;144;Věci veřejné;Věci veřejné;Věci veřejné;VV;1;144;0;0;
4;43;47;Komunistická strana Čech a Moravy;Komunistická strana Čech a Moravy;Komunistická str.Čech a Moravy;KSČM;1;047;0;0;
4;50;702;ALTERNATIVA;ALTERNATIVA;ALTERNATIVA;ALTER;1;702;0;0;
4;53;600;Dělnická strana sociální spravedlnosti - STOP NEPŘIZPŮSOBIVÝM!;Děln.str.soc.spravedlnosti - STOP NEPŘIZPŮSOBIVÝM!;DSSS-STOP NEPŘIZPŮSOBIVÝM!;DSSS+SPE;2;156,761;0;0;
4;57;137;Suverenita - Strana zdravého rozumu;Suverenita-Strana zdravého rozumu;Suver.-Strana zdravého rozumu;Suveren.;1;137;0;0;
4;60;7;Česká strana sociálně demokratická;Česká strana sociálně demokratická;Česká str.sociálně demokrat.;ČSSD;1;007;0;0;
4;63;112;HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST;HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST;HN.ZA HARM.ROZVOJ OBCÍ A MĚST;HNHRM;1;112;0;0;
4;70;53;Občanská demokratická strana;Občanská demokratická strana;Občanská demokratická strana;ODS;1;053;0;0;
4;77;714;Strana svobodných občanů;Strana svobodných občanů;Strana svobodných občanů;Svobodní;1;714;0;0;
4;93;720;Česká pirátská strana;Česká pirátská strana;Česká pirátská strana;Piráti;1;720;0;0;
5;1;734;"Občané městu, město občanům";"Občané městu, město občanům";"Občané městu, město občanům";OMMO;1;734;0;0;
5;4;700;SUVERENITA - Blok Jany Bobošíkové - pro ÚSTECKÝ KRAJ;SUVERENITA - Blok Jany Bobošíkové - pro ÚST.KRAJ;SUVERENITA - Blok JB pro ÚK;SBB+SDŽ;2;155,759;0;0;
5;7;98;Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET;Volte Pravý Blok www.cibulka.net;Volte Pr.Blok www.cibulka.net;PB;1;098;0;0;
5;8;724;Strana Práv Občanů ZEMANOVCI;Strana Práv Občanů ZEMANOVCI;Strana Práv Občanů ZEMANOVCI;SPOZ;1;724;0;0;
5;9;599;Hnutí PRO! kraj;Hnutí PRO! kraj;Hnutí PRO! kraj;PRO!kraj;3;001,005,112;0;0;
5;16;716;Strana soukromníků České republiky;Strana soukromníků České republiky;Strana soukromníků ČR;SsČR;1;716;0;0;
5;22;764;Národní socialisté - levice 21. století;Národní socialisté - levice 21. století;Nár.socialisté-levice 21.stol.;NÁR.SOC.;1;764;0;0;
5;32;659;TOP 09 a Starostové pro Ústecký kraj;TOP 09 a Starostové pro Ústecký kraj;TOP 09 a Starostové pro Úst.kr;TOP+STAN;2;166,721;0;0;
5;38;581;Koalice SNK ED a SZSP;Koalice SNK ED a SZSP;Koalice SNK ED a SZSP;NKEDSZSP;2;129,142;0;0;
5;40;704;Severočeši.cz;Severočeši.cz;Severočeši.cz;S.cz;1;704;0;0;
5;43;47;Komunistická strana Čech a Moravy;Komunistická strana Čech a Moravy;Komunistická str.Čech a Moravy;KSČM;1;047;0;0;
5;45;197;NESPOKOJENÍ OBČANÉ!;NESPOKOJENÍ OBČANÉ!;NESPOKOJENÍ OBČANÉ!;NO!;1;197;0;0;
5;53;600;Dělnická strana sociální spravedlnosti - STOP NEPŘIZPŮSOBIVÝM!;Děln.str.soc.spravedlnosti - STOP NEPŘIZPŮSOBIVÝM!;DSSS-STOP NEPŘIZPŮSOBIVÝM!;DSSS+SPE;2;156,761;0;0;
5;60;7;Česká strana sociálně demokratická;Česká strana sociálně demokratická;Česká str.sociálně demokrat.;ČSSD;1;007;0;0;
5;67;2;Česká strana národně sociální;Česká strana národně sociální;Česká strana národně sociální;ČSNS;1;002;0;0;
5;70;53;Občanská demokratická strana;Občanská demokratická strana;Občanská demokratická strana;ODS;1;053;0;0;
5;77;714;Strana svobodných občanů;Strana svobodných občanů;Strana svobodných občanů;Svobodní;1;714;0;0;
5;83;93;Komunistická strana Československa;Komunistická strana Československa;Komunistická str.Českosloven.;KSČ;1;093;0;0;
5;93;720;Česká pirátská strana;Česká pirátská strana;Česká pirátská strana;Piráti;1;720;0;0;
6;7;98;Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET;Volte Pravý Blok www.cibulka.net;Volte Pr.Blok www.cibulka.net;PB;1;098;0;0;
6;8;724;Strana Práv Občanů ZEMANOVCI;Strana Práv Občanů ZEMANOVCI;Strana Práv Občanů ZEMANOVCI;SPOZ;1;724;0;0;
6;12;585;Koalice KDU-ČSL a SsČR;Koalice KDU-ČSL a SsČR;Koalice KDU-ČSL a SsČR;KDUČSLSs;2;001,716;0;0;
6;14;103;Strana pro otevřenou společnost;Strana pro otevřenou společnost;Str.pro otevřenou společnost;SOS;1;103;0;0;
6;22;764;Národní socialisté - levice 21. století;Národní socialisté - levice 21. století;Nár.socialisté-levice 21.stol.;NÁR.SOC.;1;764;0;0;
6;23;703;Starostové pro Liberecký kraj;Starostové pro Liberecký kraj;Starostové pro Liberecký kraj;SLK;1;703;0;0;
6;24;121;NÁRODNÍ PROSPERITA;NÁRODNÍ PROSPERITA;NÁRODNÍ PROSPERITA;NP;1;121;0;0;
6;43;47;Komunistická strana Čech a Moravy;Komunistická strana Čech a Moravy;Komunistická str.Čech a Moravy;KSČM;1;047;0;0;
6;49;586;SUVERENITA - Blok Jany Bobošíkové pro LIBERECKÝ KRAJ;SUVERENITA - Blok Jany Bobošíkové pro LBC. KRAJ;SUVERENITA - Blok JB pro LBK;SBB+KONS;2;024,759;0;0;
6;53;600;Dělnická strana sociální spravedlnosti - STOP NEPŘIZPŮSOBIVÝM!;Děln.str.soc.spravedlnosti - STOP NEPŘIZPŮSOBIVÝM!;DSSS-STOP NEPŘIZPŮSOBIVÝM!;DSSS+SPE;2;156,761;0;0;
6;60;7;Česká strana sociálně demokratická;Česká strana sociálně demokratická;Česká str.sociálně demokrat.;ČSSD;1;007;0;0;
6;62;659;TOP 09 a Starostové;TOP 09 a Starostové;TOP 09 a Starostové;TOP+STAN;2;166,721;0;0;
6;67;2;Česká strana národně sociální;Česká strana národně sociální;Česká strana národně sociální;ČSNS;1;002;0;0;
6;69;584;ZMĚNA PRO LIBERECKÝ KRAJ;ZMĚNA PRO LIBERECKÝ KRAJ;ZMĚNA PRO LIBERECKÝ KRAJ;SZ+Změna;2;005,771;0;0;
6;70;53;Občanská demokratická strana;Občanská demokratická strana;Občanská demokratická strana;ODS;1;053;0;0;
6;72;783;Česká strana selského rozumu;Česká strana selského rozumu;Česká strana selského rozumu;Čssr;1;783;0;0;
6;77;714;Strana svobodných občanů;Strana svobodných občanů;Strana svobodných občanů;Svobodní;1;714;0;0;
6;85;129;SNK Evropští demokraté;SNK Evropští demokraté;SNK Evropští demokraté;SNK ED;1;129;0;0;
6;90;780;Nová budoucnost pro Liberecký kraj;Nová budoucnost pro Liberecký kraj;Nová budoucn.pro Liberecký kr.;NBPLK;1;780;0;0;
6;93;720;Česká pirátská strana;Česká pirátská strana;Česká pirátská strana;Piráti;1;720;0;0;
7;7;98;Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET;Volte Pravý Blok www.cibulka.net;Volte Pr.Blok www.cibulka.net;PB;1;098;0;0;
7;8;724;Strana Práv Občanů ZEMANOVCI;Strana Práv Občanů ZEMANOVCI;Strana Práv Občanů ZEMANOVCI;SPOZ;1;724;0;0;
7;11;659;TOP 09 a Starostové pro Královéhradecký kraj;TOP 09 a Starostové pro Královéhradecký kraj;TOP 09 a Starostové pro KHK;TOP+STAN;2;166,721;0;0;
7;16;716;Strana soukromníků České republiky;Strana soukromníků České republiky;Strana soukromníků ČR;SsČR;1;716;0;0;
7;18;349;Koalice pro Královéhradecký kraj - KDU-ČSL - HDK - VPM;Koalice pro KHK - KDU-ČSL - HDK - VPM;Koalice pro KHK - KDU-ČSL-VPM;Koal_KHK;2;001,113;0;0;
7;22;764;Národní socialisté - levice 21. století;Národní socialisté - levice 21. století;Nár.socialisté-levice 21.stol.;NÁR.SOC.;1;764;0;0;
7;30;144;Věci veřejné;Věci veřejné;Věci veřejné;VV;1;144;0;0;
7;43;47;Komunistická strana Čech a Moravy;Komunistická strana Čech a Moravy;Komunistická str.Čech a Moravy;KSČM;1;047;0;0;
7;47;776;PATRIOTI;PATRIOTI;PATRIOTI;PATRIOTI;1;776;0;0;
7;53;600;Dělnická strana sociální spravedlnosti - STOP NEPŘIZPŮSOBIVÝM!;Děln.str.soc.spravedlnosti - STOP NEPŘIZPŮSOBIVÝM!;DSSS-STOP NEPŘIZPŮSOBIVÝM!;DSSS+SPE;2;156,761;0;0;
7;57;137;Suverenita - Strana zdravého rozumu;Suverenita-Strana zdravého rozumu;Suver.-Strana zdravého rozumu;Suveren.;1;137;0;0;
7;60;7;Česká strana sociálně demokratická;Česká strana sociálně demokratická;Česká str.sociálně demokrat.;ČSSD;1;007;0;0;
7;67;2;Česká strana národně sociální;Česká strana národně sociální;Česká strana národně sociální;ČSNS;1;002;0;0;
7;70;53;Občanská demokratická strana;Občanská demokratická strana;Občanská demokratická strana;ODS;1;053;0;0;
7;71;770;VÝCHODOČEŠI;VÝCHODOČEŠI;VÝCHODOČEŠI;VČ;1;770;0;0;
7;74;584;Změna pro Královéhradecký kraj;Změna pro Královéhradecký kraj;Změna pro Královéhradecký kraj;SZ+Změna;2;005,771;0;0;
7;77;714;Strana svobodných občanů;Strana svobodných občanů;Strana svobodných občanů;Svobodní;1;714;0;0;
7;85;129;SNK Evropští demokraté;SNK Evropští demokraté;SNK Evropští demokraté;SNK ED;1;129;0;0;
7;93;720;Česká pirátská strana;Česká pirátská strana;Česká pirátská strana;Piráti;1;720;0;0;
8;7;98;Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET;Volte Pravý Blok www.cibulka.net;Volte Pr.Blok www.cibulka.net;PB;1;098;0;0;
8;8;724;Strana Práv Občanů ZEMANOVCI;Strana Práv Občanů ZEMANOVCI;Strana Práv Občanů ZEMANOVCI;SPOZ;1;724;0;0;
8;16;716;Strana soukromníků České republiky;Strana soukromníků České republiky;Strana soukromníků ČR;SsČR;1;716;0;0;
8;20;83;Moravané;Moravané;Moravané;M;1;083;0;0;
8;22;764;Národní socialisté - levice 21. století;Národní socialisté - levice 21. století;Nár.socialisté-levice 21.stol.;NÁR.SOC.;1;764;0;0;
8;26;88;NEZÁVISLÍ;NEZÁVISLÍ;NEZÁVISLÍ;NEZ;1;088;0;0;
8;28;698;Východočeši;Východočeši;Východočeši;ČSR+VČ;2;756,770;0;0;
8;35;782;"Sdružení sportů České republiky";"Sdružení sportů České republiky";"Sdružení sportů České repub.";SSČR.CZ;1;782;0;0;
8;43;47;Komunistická strana Čech a Moravy;Komunistická strana Čech a Moravy;Komunistická str.Čech a Moravy;KSČM;1;047;0;0;
8;51;5;Strana zelených;Strana zelených;Strana zelených;SZ;1;005;0;0;
8;53;600;Dělnická strana sociální spravedlnosti - STOP NEPŘIZPŮSOBIVÝM!;Děln.str.soc.spravedlnosti - STOP NEPŘIZPŮSOBIVÝM!;DSSS-STOP NEPŘIZPŮSOBIVÝM!;DSSS+SPE;2;156,761;0;0;
8;55;652;Koalice pro Pardubický kraj;Koalice pro Pardubický kraj;Koalice pro Pardubický kraj;KOALPAR1;3;001,129,181;0;0;
8;57;137;Suverenita - Strana zdravého rozumu;Suverenita-Strana zdravého rozumu;Suver.-Strana zdravého rozumu;Suveren.;1;137;0;0;
8;60;7;Česká strana sociálně demokratická;Česká strana sociálně demokratická;Česká str.sociálně demokrat.;ČSSD;1;007;0;0;
8;70;53;Občanská demokratická strana;Občanská demokratická strana;Občanská demokratická strana;ODS;1;053;0;0;
8;77;714;Strana svobodných občanů;Strana svobodných občanů;Strana svobodných občanů;Svobodní;1;714;0;0;
8;79;659;TOP 09 a Starostové pro Pardubický kraj;TOP 09 a Starostové pro Pardubický kraj;TOP 09 a Starostové pro PAK;TOP+STAN;2;166,721;0;0;
8;83;93;Komunistická strana Československa;Komunistická strana Československa;Komunistická str.Českosloven.;KSČ;1;093;0;0;
8;93;720;Česká pirátská strana;Česká pirátská strana;Česká pirátská strana;Piráti;1;720;0;0;
9;7;98;Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET;Volte Pravý Blok www.cibulka.net;Volte Pr.Blok www.cibulka.net;PB;1;098;0;0;
9;8;724;Strana Práv Občanů ZEMANOVCI;Strana Práv Občanů ZEMANOVCI;Strana Práv Občanů ZEMANOVCI;SPOZ;1;724;0;0;
9;16;716;Strana soukromníků České republiky;Strana soukromníků České republiky;Strana soukromníků ČR;SsČR;1;716;0;0;
9;20;83;Moravané;Moravané;Moravané;M;1;083;0;0;
9;22;764;Národní socialisté - levice 21. století;Národní socialisté - levice 21. století;Nár.socialisté-levice 21.stol.;NÁR.SOC.;1;764;0;0;
