KRZAST;KSTRANA;VSTRANA;NAZEVCELK;NAZEV_STRK;ZKRATKAK30;ZKRATKAK8;POCSTRVKO;SLOZENI;STAVREG;PLATNOST;SLOZNEPLAT;CPU
11;53;632;Dělnická strana - za zrušení poplatků ve zdravotnictví;Dělnická strana-za zrušení poplatků ve zdravotn.;Děln.str.-zrušení popl.ve zdr.;DS_POPL;2;153,156;0;0;
11;1;47;Komunistická strana Čech a Moravy;Komunistická strana Čech a Moravy;Komunistická str.Čech a Moravy;KSČM;1;047;0;0;
11;2;639;Šance pro náš kraj;Šance pro náš kraj;Šance pro náš kraj;ŠANCE_OL;3;102,103,129;0;0;
11;9;166;"Nezávislí starostové pro kraj";"Nezávislí starostové pro kraj";"Nezáv.starostové pro kraj";"NSK";1;166;0;0;
11;12;1;Křesťanská a demokratická unie - Československá strana lidová;Křesťan.a demokrat.unie-Českosl.strana lidová;Křesť.demokr.unie-Čs.str.lid.;KDU-ČSL;1;001;0;0;
11;13;88;NEZÁVISLÍ;NEZÁVISLÍ;NEZÁVISLÍ;NEZ;1;088;0;0;
11;18;5;Strana zelených;Strana zelených;Strana zelených;SZ;1;005;0;0;
11;19;83;Moravané;Moravané;Moravané;M;1;083;0;0;
11;32;137;Strana zdravého rozumu;Strana zdravého rozumu;Strana zdravého rozumu;SZR;1;137;0;0;
11;33;11;Sdružení pro republiku-Republikánská strana Československa;Sdružení pro republiku-Republikán.strana Českosl.;Sdruž.pro rep.-Republ.str.Čsl.;SPR-RSČ;1;011;0;0;
11;37;155;SDŽ - Strana důstojného života;SDŽ - Strana důstojného života;SDŽ-Strana důstojného života;SDŽ;1;155;0;0;
11;42;98;Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET;Volte Pravý Blok - www.cibulka.net;Volte Pr.Blok-www.cibulka.net;PB;1;098;0;0;
11;47;53;Občanská demokratická strana;Občanská demokratická strana;Občanská demokratická strana;ODS;1;053;0;0;
