ESTRANA;PORCISLO;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;STATOBCAN;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;POCHLASU;POCPROC;MANDAT;PORADIMAND;PORADINAHR
3;17;"Petr";"Kapoun";"Ing.";"";54;"CZ";"podnikatel v oblasti stavebnictví";"Dìèín";562335;99;1177;"A";6;.07;"N";0;0
3;18;"Jan";"Zelenı";"Ing.";"";47;"CZ";"OSVÈ - IT sluby";"Praha";1;1177;1177;"A";21;.26;"N";0;0
3;19;"Jakub";"Lustig";"Bc.";"";40;"CZ";"OSVÈ";"Jièín";572659;1177;1177;"A";26;.32;"N";0;0
3;20;"Martin";"Kùstka";"Ing.";"";52;"CZ";"správa pohledávek";"Olomouc";500496;99;1177;"A";21;.26;"N";0;0
3;21;"Miroslav";"Sıkora";"";"";54;"CZ";"OSVÈ - vıuka angliètiny";"Pardubice";6;1177;1177;"A";18;.22;"N";0;0
3;22;"Oldøich";"Zima";"";"";58;"CZ";"obchodní zástupce";"Hradec Králové";569810;1177;1177;"A";12;.15;"N";0;0
3;23;"Lucie";"Meškanová";"Mgr.";"";45;"CZ";"mediátorka a lektorka";"Praha";1;1177;1177;"A";59;.74;"N";0;0
3;24;"Ilona";"Fialová";"";"";61;"CZ";"knihkupec";"Zásmuky";533921;1177;1177;"A";13;.16;"N";0;0
3;25;"Petr";"Pospíšil";"";"";42;"CZ";"kamnáø";"Sulkovec";596833;99;1177;"A";37;.46;"N";0;0
3;26;"Jaroslav";"Kuchaø";"Mgr.";"";55;"CZ";"podnikatel";"Pøišimasy";533611;1177;1177;"A";47;.59;"N";0;0
4;1;"Ivan";"Šterzl";"Prof. MUDr.";"CSc.";65;"CZ";"lékaø, zakl. imunoendokrinologie v ÈR";"Velhartice";557366;99;764;"A";221;16.84;"N";0;0
4;2;"Sandra";"Šotová";"JUDr.";"";33;"CZ";"právnièka, specialistka na eurodotace";"Praha";1;99;764;"A";90;6.85;"N";0;0
4;3;"Vladimír";"Pelc";"PhDr.";"";65;"CZ";"podnikatel, daòovı specialista";"Praha";1;764;764;"A";18;1.37;"N";0;0
4;4;"Zdeòka";"Tošnerová";"Mgr.";"";59;"CZ";"øeditelka sportovního areálu";"Praha";1;724;764;"A";28;2.13;"N";0;0
4;5;"Jaroslav";"Král";"JUDr.";"CSc.";67;"CZ";"právník, bıv. nám. min. dopravy a pro míst. rozvoj";"Praha";1;764;764;"A";28;2.13;"N";0;0
4;6;"Stanislava";"Tùmová";"";"";61;"CZ";"jednatelka, podnikatelka";"Horoušany";538221;724;764;"A";15;1.14;"N";0;0
4;7;"Zbynìk";"Holub";"Doc. PhDr. PaedDr.";"Ph.D.";62;"CZ";"VŠ pedagog, místopøedseda strany";"Èeské Budìjovice";544256;764;764;"A";52;3.96;"N";0;0
4;8;"Mária";"Kropáèková";"RNDr.";"";63;"CZ";"øeditelka Centra zdravého srdce";"Praha";1;724;764;"A";32;2.43;"N";0;0
4;9;"Jiøí";"Pondìlíèek";"";"";54;"CZ";"knihkupec";"Praha";1;764;764;"A";16;1.21;"N";0;0
4;10;"Zdenìk";"Jirásek";"";"";61;"CZ";"spisovatel, bezpeènostní expert";"Praha";1;724;764;"A";37;2.82;"N";0;0
4;11;"Petr";"Topinka";"JUDr.";"";61;"CZ";"advokát";"Praha";1;764;764;"A";23;1.75;"N";0;0
4;12;"Josef";"Mastnı";"Ing.";"";58;"CZ";"ekonom";"Praha";1;724;764;"A";11;.83;"N";0;0
4;13;"Stanislav";"Vondráèek";"";"";56;"CZ";"stránı";"Èeská Lípa";561380;764;764;"A";13;.99;"N";0;0
4;14;"Jaromír";"Schling";"Ing.";"";72;"CZ";"podnikatel, bıv. ministr dopravy a spojù";"Praha";1;724;764;"A";11;.83;"N";0;0
4;15;"Jan";"Šinogl";"";"";69;"CZ";"podnikatel";"Strachotice";594822;764;764;"A";16;1.21;"N";0;0
4;16;"Ljudmila";"Fomkina";"";"";68;"CZ";"majordomus";"Praha";1;99;764;"A";5;.38;"N";0;0
4;17;"Pøemysl";"Votava";"";"";75;"CZ";"tiskovı mluvèí a místopøedseda strany";"Praha";1;764;764;"A";15;1.14;"N";0;0
4;18;"Ludvík";"Hynek";"JUDr.";"";69;"CZ";"právník";"Praha";1;99;764;"A";10;.76;"N";0;0
4;19;"Marie";"Charousková";"";"";62;"CZ";"uèitelka MŠ";"Praha";1;724;764;"A";6;.45;"N";0;0
4;20;"Václav";"Charousek";"";"";64;"CZ";"specialista IT";"Praha";1;724;764;"A";6;.45;"N";0;0
4;21;"Jaroslav";"Dvoøák";"";"";43;"CZ";"analytik, IT, územní plánování";"Praha";1;724;764;"A";39;2.97;"N";0;0
5;1;"Jan";"Zahradil";"Ing.";"";56;"CZ";"poslanec Evropského parlamentu";"Praha";1;53;53;"A";51381;14.89;"A";1;0
5;2;"Even";"Tošenovskı";"Ing.";"";63;"CZ";"poslanec Evropského parlamentu";"Ostrava";4;53;53;"A";25644;7.43;"A";3;0
5;3;"Veronika";"Vrecionová";"Ing.";"";53;"CZ";"poslankynì PÈR, pøed. Spolku pro obnovu venkova ÈR";"Pøezletice";538671;53;53;"A";8460;2.45;"A";4;0
5;4;"Ondøej";"Krutílek";"Mgr.";"";38;"CZ";"analytik legislativy EU";"Brno";3;99;53;"A";6968;2.02;"N";0;1
5;5;"Radka";"Trylèová";"Mgr.";"";44;"CZ";"radní Plzeòského kraje pro oblast P a zemìdìlství";"Plzeò";2;53;53;"A";4902;1.42;"N";0;2
5;6;"Eva";"Decroix";"Mgr.";"";36;"CZ";"advokátka, zapsaná mediátorka, podnikatelka";"Jihlava";586846;53;53;"A";4559;1.32;"N";0;3
5;7;"Josef";"Hynek";"prof. RNDr.";"MBA, Ph.D.";53;"CZ";"dìkan";"Vysoké Mıto";581186;53;53;"A";3690;1.06;"N";0;4
5;8;"Marcel";"Kollmann";"Ing.";"";47;"CZ";"øeditel spoleènosti";"atec";566985;53;53;"A";834;.24;"N";0;5
5;9;"Tomáš";"Hanuš";"M.A.";"";32;"CZ";"poradce pro frakci Evropskıch konz. a reform. v EP";"Hradec Králové";569810;53;53;"A";2249;.65;"N";0;6
5;10;"Edvard";"Koušník";"";"";48;"CZ";"analytik legislativy EU a bìec";"Praha";1;53;53;"A";6135;1.77;"N";0;7
5;11;"Andrea";"Šilhanová";"Bc.";"";24;"CZ";"studentka";"Praha";1;53;53;"A";1451;.42;"N";0;8
5;12;"Štìpán";"Slovák";"";"";21;"CZ";"student Právnické fakulty UK";"Luhaèovice";585459;53;53;"A";1284;.37;"N";0;9
5;13;"Tomáš";"Lázna";"Ing.";"";26;"CZ";"vìdeckı pracovník VUT, robotik";"Prostìjov";589250;53;53;"A";1156;.33;"N";0;10
5;14;"Vladimír";"Kajlik";"Dr.";"Ph.D.";72;"CZ";"pøekladatel, vysokoškolskı pedagog";"Mariánské Láznì";554642;53;53;"A";358;.1;"N";0;11
5;15;"Alexandr";"Vondra";"RNDr.";"";57;"CZ";"VŠ pedagog, bıvalı disident, diplomat a ministr";"Litomìøice";564567;53;53;"A";29536;8.56;"A";2;0
5;16;"Ludìk";"Sefzig";"MUDr.";"";62;"CZ";"lékaø";"Rokycany";559717;53;53;"A";997;.28;"N";0;12
5;17;"Mansoor";"Maitah";"doc. Ing.";"Ph.D. et Ph.D.";56;"CZ";"vìdeckı pracovník - vysokoškolskı pedagog";"Praha";1;53;53;"A";684;.19;"N";0;13
5;18;"Daniel";"Štìpánek";"Mgr.";"";42;"CZ";"místostarosta mìsta Bystøice";"Bystøice";529451;53;53;"A";524;.15;"N";0;14
5;19;"Alexander";"Bellu";"Mgr.";"";31;"CZ";"ivnostník, zastupitel Prahy 3";"Praha";1;53;53;"A";1195;.34;"N";0;15
5;20;"Jindøich";"Voboøil";"Mgr.";"";52;"CZ";"øeditel spoleènosti Podané ruce o.p.s.";"Brno";3;53;53;"A";1223;.35;"N";0;16
5;21;"Pavel";"Hejtmánek";"Mgr.";"";53;"CZ";"Key Acount manager SYSMEX CZ s.r.o.";"Chotìboø";568759;53;53;"A";253;.07;"N";0;17
5;22;"Hynek";"Orság";"Ing.";"";52;"CZ";"jednatel firmy";"Karviná";598917;53;53;"A";274;.07;"N";0;18
5;23;"Veronika";"Luòáková";"Mgr.";"";29;"CZ";"specialistka ve farmaceutické spoleènosti";"Neratovice";535087;53;53;"A";683;.19;"N";0;19
5;24;"Anna";"Heaney";"";"";71;"CZ";"politoloka";"Praha";1;53;53;"A";218;.06;"N";0;20
5;25;"Václava";"Jandeèková";"Ing.";"";45;"CZ";"spisovatelka, publicistka, badatelka";"Kdynì";553786;99;53;"A";762;.22;"N";0;21
5;26;"Jiøí";"Kozák";"Mgr.";"";42;"CZ";"øeditel vzdìlávací organizace, VŠ uèitel";"Øíèany";538728;53;53;"A";768;.22;"N";0;22
5;27;"Martin Elis";"Kuchaø";"";"";49;"CZ";"péèe o osobu blízkou";"Praha";1;53;53;"A";353;.1;"N";0;23
5;28;"Michal";"Zácha";"";"";41;"CZ";"1. námìstek primátora statutárního mìsta Pøerova";"Pøerov";511382;53;53;"A";745;.21;"N";0;24
6;1;"Lucie";"Schejbalová";"Bc.";"";31;"CZ";"youtuberka Sejroška - Šimering expert";"Chlumec";536229;99;1206;"A";3433;9.26;"N";0;0
6;2;"Antonín";"Capoušek";"";"";35;"CZ";"kryptobaron";"Bany";567485;99;1206;"A";1026;2.76;"N";0;0
6;3;"Jiøí";"Kyjovskı";"";"";31;"CZ";"generální øeditel TAXI Otnice, zastupitel ze Šimic";"Brno";3;1206;1206;"A";723;1.95;"N";0;0
6;4;"Tomáš";"Sus";"";"";31;"CZ";"vèelaø";"Brno";3;99;1206;"A";1301;3.51;"N";0;0
6;5;"Jakub";"Gauner";"";"";33;"CZ";"provozovatel Gauners Tuning Team GTT";"Jihlava";586846;99;1206;"A";420;1.13;"N";0;0
6;6;"Nela";"Capoušková";"";"";28;"CZ";"mateøská dovolená";"Chlumec";536229;99;1206;"A";817;2.2;"N";0;0
6;7;"Antonín";"Fuksa";"";"";31;"CZ";"kouzelník";"Køenovice";562181;99;1206;"A";824;2.22;"N";0;0
6;8;"Petr";"Šindeláø";"";"";60;"CZ";"administrativní pracovník";"Brno";3;99;1206;"A";692;1.86;"N";0;0
6;9;"Martin";"Šlachta";"";"";32;"CZ";"ekolog, imitátor Václava Havla";"Brno";3;99;1206;"A";944;2.54;"N";0;0
7;1;"Pavel";"Poc";"RNDr.";"";54;"CZ";"poslanec EP, biolog";"Valy";539481;7;7;"A";10231;10.92;"N";0;0
7;2;"Olga";"Sehnalová";"MUDr.";"MBA";50;"CZ";"poslankynì EP, lékaøka";"Kromìøí";588296;7;7;"A";10872;11.6;"N";0;0
