CKAND;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;POHLAVI;PLATNOST;HLASY_K1;ZVOLEN_K1;HLASY_K2;ZVOLEN_K2
1;"Zuzana";"Roithov·";"MUDr.";"MBA";59;"poslankynÏ Evr. parlamentu";"Dvory nad LuûnicÌ";509141;1;999;1;"A";255045;0;0;0
2;"Jan";"Fischer";"Ing.";"CSc.";62;"viceprezident EBRD";"Praha";1;99;999;0;"A";841437;0;0;0
3;"Jana";"BoboöÌkov·";"Ing.";"";48;"manaûerka";"Praha";1;759;999;1;"A";123171;0;0;0
4;"Taùana";"Fischerov·";"";"";65;"hereËka a politiËka";"Praha";1;199;999;1;"A";166211;0;0;0
5;"P¯emysl";"Sobotka";"MUDr.";"";68;"sen·tor, 1. mÌstop¯edseda SP»R";"Liberec";563889;53;997;0;"A";126846;0;0;0
6;"Miloö";"Zeman";"Ing.";"";68;"prognostik";"Praha";1;724;999;0;"A";1245848;2;2717405;1
7;"VladimÌr";"Franz";"Prof. JUDr.";"";53;"Vä profesor, hud.sklad.,malÌ¯";"Praha";1;99;999;0;"A";351916;0;0;0
8;"Ji¯Ì";"Dienstbier";"";"";43;"pr·vnÌk a sen·tor";"Praha";1;7;998;0;"A";829297;0;0;0
9;"Karel";"Schwarzenberg";"";"";75;"ministr zahr. vÏcÌ, poslanec";"S˝ko¯ice";542466;721;997;0;"A";1204195;2;2241171;0
